source_file,id,name,locality,region,location,area,district,street,house,network_type,building_type,purpose,residential_complex,res_completed,houses_count,apartments_count,floors_count,porch_count,cluster_id
cluster_Астана-ШР-9.xml,6207d8cd-9959-2b45-6b6d-606a089e06b2,"улица Кайнар, 11",Астана,Астана город республиканского значения,POINT (71.334029 51.196227),"MULTIPOLYGON(((71.334154 51.196312,71.334073 51.19633,71.334097 51.196372,71.334178 51.196354,71.334154 51.196312)),((71.334072 51.196169,71.333938 51.1962,71.333986 51.196284,71.334121 51.196254,71.334072 51.196169)))",Коктал-2 м-н,улица Кайнар,11,ГТС,IZHS,Частный дом,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,5c4af1e4-c137-b555-84ef-1f6772334008,"улица Наурыз, 45",Астана,Астана город республиканского значения,POINT (71.336211 51.201311),"POLYGON((71.336117 51.201333,71.336175 51.201251,71.336306 51.201288,71.336248 51.20137,71.336117 51.201333))",Коктал-2 м-н,улица Наурыз,45,ГТС,IZHS,Частный дом,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,d4e18b78-82f2-385b-d518-b29fbfdce6e3,Сооружение,Астана,Астана город республиканского значения,POINT (71.345627 51.20009),"POLYGON((71.345577 51.20011,71.345568 51.200084,71.345611 51.200078,71.345609 51.200068,71.345638 51.200064,71.345642 51.200076,71.3457 51.200068,71.345708 51.200091,71.345577 51.20011))",Коктал-2 м-н,,,ГТС,OTHER,Сооружение,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,031e1d3e-286a-5359-496f-1b5a6dab06e8,"улица Акмола, 24/1",Астана,Астана город республиканского значения,POINT (71.33589 51.194351),"POLYGON((71.335862 51.194232,71.335999 51.19445,71.335919 51.19447,71.335782 51.194252,71.335862 51.194232))",Коктал-2 м-н,улица Акмола,24/1,ГТС,ADMINISTRATIVE,Административное здание,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,3d8bbb27-7b4e-bc33-5883-28c666937830,"улица Аркалык, 2",Астана,Астана город республиканского значения,POINT (71.341263 51.191532),"POLYGON((71.341123 51.191653,71.34103 51.191503,71.341403 51.191411,71.341497 51.191562,71.341123 51.191653))",Коктал-2 м-н,улица Аркалык,2,ГТС,ADMINISTRATIVE,Административное здание,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,eb204d1a-03c3-875a-9b35-8435d45a5ec9,"улица Улытау, 38",Астана,Астана город республиканского значения,POINT (71.345744 51.197908),"POLYGON((71.345881 51.198025,71.345715 51.198053,71.345607 51.197792,71.345773 51.197764,71.345881 51.198025))",,улица Улытау,38,ГТС,ADMINISTRATIVE,Административное здание,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,0b173dbe-7d37-8380-fb70-a565dacf983e,"улица Улытау, 24/2",Астана,Астана город республиканского значения,POINT (71.344413 51.194176),"POLYGON((71.344374 51.194235,71.34432 51.194152,71.344452 51.194118,71.344506 51.194201,71.344374 51.194235))",,улица Улытау,24/2,ГТС,IZHS,Частный дом,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,1026f495-e025-20a0-4efd-6029a87bc440,Сооружение,Астана,Астана город республиканского значения,POINT (71.336659 51.19954),"POLYGON((71.336534 51.199538,71.336577 51.199481,71.336784 51.199542,71.336741 51.199599,71.336534 51.199538))",Коктал-2 м-н,,,ГТС,OTHER,Сооружение,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,e16859b5-d0cb-443f-1d24-df71456d65ca,Объект,Астана,Астана город республиканского значения,POINT (71.326813 51.193699),"POLYGON((71.326791 51.193712,71.326791 51.193685,71.326834 51.193685,71.326834 51.193712,71.326791 51.193712))",Коктал-2 м-н,,,ГТС,OTHER,Объект,,True,1.0,,,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,106e203b-1aee-f0fb-c825-6ee2d8aa7d0e,"проспект Нургиса Тлендиева, 38",Астана,Астана город республиканского значения,POINT (71.337107 51.191101),"POLYGON((71.336112 51.191799,71.336294 51.192092,71.336347 51.192079,71.33643 51.192213,71.337204 51.192023,71.33712 51.191889,71.336507 51.192039,71.336325 51.191746,71.336159 51.191478,71.336346 51.191433,71.336304 51.191366,71.337983 51.190955,71.338025 51.191022,71.338212 51.190976,71.338378 51.191244,71.338559 51.191537,71.337946 51.191687,71.338029 51.191821,71.338802 51.191632,71.338719 51.191498,71.338773 51.191485,71.338591 51.191192,71.338383 51.190857,71.33833 51.19087,71.338289 51.190803,71.337942 51.190888,71.337911 51.190837,71.336231 51.191248,71.336263 51.191299,71.335916 51.191384,71.335958 51.191451,71.335904 51.191464,71.336112 51.191799))",Коктал-2 м-н,проспект Нургиса Тлендиева,38,ГТС,MZHK,Жилой дом,"Астана, По Тлендиева-2, жилой комплекс",True,1.0,670.0,14.0,13.0,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,8acaef09-c8a8-bc3d-4bc9-5c0c9a8131c7,Хозяйственный корпус,Астана,Астана город республиканского значения,POINT (71.347092 51.207774),"POLYGON((71.34699 51.207778,71.347106 51.207711,71.347193 51.20777,71.347077 51.207837,71.34699 51.207778))",,,,ГТС,INDUSTRY,Хозяйственный корпус,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,6f193c64-1d3e-f906-c08a-eb1ec601dabd,"улица Айыртау, 2",Астана,Астана город республиканского значения,POINT (71.342432 51.194625),"POLYGON((71.342508 51.194667,71.342365 51.194673,71.342356 51.194583,71.342499 51.194578,71.342508 51.194667))",Коктал-2 м-н,улица Айыртау,2,ГТС,IZHS,Частный дом,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,0624af66-7417-730f-682a-982710aa3f0c,Коттедж,Астана,Астана город республиканского значения,POINT (71.343603 51.191629),"POLYGON((71.343566 51.191688,71.343508 51.191605,71.343639 51.191569,71.343697 51.191652,71.343566 51.191688))",,,,ГТС,IZHS,Коттедж,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,e6426362-fd57-56e4-8169-440d65976df9,Объект,Астана,Астана город республиканского значения,POINT (71.336028 51.202011),"POLYGON((71.336009 51.202016,71.33602 51.201999,71.336047 51.202007,71.336035 51.202023,71.336009 51.202016))",,,,ГТС,OTHER,Объект,,True,1.0,,,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,d5b0881e-9e70-5d0b-7285-fb576d44ed7d,"улица Зайсан, 29",Астана,Астана город республиканского значения,POINT (71.34367 51.196478),"POLYGON((71.343618 51.196532,71.343582 51.196445,71.343721 51.196423,71.343757 51.19651,71.343618 51.196532))",Коктал-2 м-н,улица Зайсан,29,ГТС,IZHS,Коттедж,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,b7a98349-e1cf-3ce0-c3ac-5fd759bf72ef,"улица Аркалык, 46/1",Астана,Астана город республиканского значения,POINT (71.328585 51.195074),"POLYGON((71.328492 51.195049,71.328625 51.195016,71.328678 51.195099,71.328545 51.195133,71.328492 51.195049))",Коктал-2 м-н,улица Аркалык,46/1,ГТС,IZHS,Коттедж,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,2da3791f-a695-11df-1e49-dcf97a8e6433,Сооружение,Астана,Астана город республиканского значения,POINT (71.339876 51.191066),"POLYGON((71.339844 51.191113,71.339801 51.191046,71.339907 51.191019,71.33995 51.191086,71.339844 51.191113))",Коктал-2 м-н,,,ГТС,OTHER,Сооружение,,True,1.0,,1.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,2e70b88f-c336-33f4-db7c-64d1f8c477a5,"улица Торгай, 15",Астана,Астана город республиканского значения,POINT (71.338422 51.200684),"POLYGON((71.338516 51.20066,71.338461 51.200743,71.338329 51.200709,71.338384 51.200625,71.338516 51.20066))",Коктал-2 м-н,улица Торгай,15,ГТС,IZHS,Коттедж,,True,1.0,,2.0,,a1a7c483-0233-e01c-756b-5621d4ccd05d
cluster_Астана-ШР-9.xml,7c3fed18-ae92-9898-734d-763bb5d1c716,"улица Тамшалы, 26",Астана,Астана город республиканского значения,POINT (71.367058 51.202588),"POLYGON((71.366979 51.202835,71.366963 51.202879,71.367032 51.202889,71.36717 51.202836,71.36722 51.202704,71.367108 51.202688,71.367233 51.202356,71.367066 51.202331,71.366882 51.202821,71.366979 51.202835))",,улица Тамшалы,26,ГТС,MZHK,Малоэтажный жилой дом,"Астана, улица Тамшалы, 26",True,1.0,40.0,4.0,3.0,a1a7c483-0233-e01c-756b-5621d4ccd05d
